City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,bethel,41.3712,-73.414,21.38,84,0,2.06,US,1691647718
120,vorgashor,67.5833,63.95,16.41,54,39,5.83,RU,1691647720
121,kristinestad,62.2743,21.376,16.17,73,24,4.7,FI,1691647720
122,isafjordur,66.0755,-23.124,6.49,83,31,3.18,IS,1691647721
123,badger,64.8,-147.5333,17.95,82,75,2.06,US,1691647721
124,gebeit,21.0667,36.3167,35.85,14,2,2.36,SD,1691647721
125,lata,40.1629,-8.3327,17.18,95,41,1.19,PT,1691647722
126,hotan,37.0997,79.9269,34.59,17,5,3.86,CN,1691647722
127,kourou,5.1552,-52.6478,23.03,91,17,2.79,GF,1691647723
128,kriva palanka,42.2019,22.3319,16.47,79,100,1.18,MK,1691647723
129,tobol,52.6844,62.5794,23.81,53,53,6.34,KZ,1691647724
130,elizabeth city,36.2946,-76.2511,24.01,92,0,2.06,US,1691647724
131,lihue,21.9789,-159.3672,26.77,74,75,8.75,US,1691647725
132,andovoranto,-18.95,49.1,20.27,89,79,1.32,MG,1691647725
133,olonkinbyen,70.9221,-8.7187,6.45,100,100,4.63,SJ,1691647726
134,walbrzych,50.7714,16.2843,14.16,92,88,1.36,PL,1691647726
135,robbah,33.2797,6.9098,27.0,44,0,7.0,DZ,1691647727
136,ribadesella,43.4614,-5.0596,20.53,83,75,1.87,ES,1691647727
137,katsuren-haebaru,26.3369,127.8719,33.21,66,40,2.06,JP,1691647728
138,kavaratti,10.5669,72.642,27.8,77,93,8.01,IN,1691647728
139,rasht,37.2808,49.5832,30.9,74,0,0.0,IR,1691647681
140,coquimbo,-29.9533,-71.3436,12.85,100,40,2.06,CL,1691647729
141,margaret river,-33.95,115.0667,13.47,68,100,1.89,AU,1691647729
142,hilo,19.7297,-155.09,25.85,83,100,6.17,US,1691647539
143,talnakh,69.4865,88.3972,19.56,39,98,8.44,RU,1691647730
144,puerto colombia,10.9878,-74.9547,25.05,84,100,6.22,CO,1691647731
145,forestdale,33.5701,-86.8964,23.94,94,0,3.09,US,1691647731
146,tanumah,27.1,44.1333,38.37,6,0,5.46,SA,1691647732
147,albany,42.6001,-73.9662,18.23,88,47,1.34,US,1691647732
148,ouadda,8.0777,22.4007,20.69,96,100,0.5,CF,1691647733
149,kurmuk,10.55,34.2833,21.33,89,100,1.13,SD,1691647733
150,tiksi,71.6872,128.8694,21.01,38,18,2.32,RU,1691647734
151,mahina,-17.5065,-149.489,24.36,69,58,7.12,PF,1691647734
152,morant bay,17.8815,-76.4093,27.62,84,13,2.41,JM,1691647735
153,college,64.8569,-147.8028,17.99,82,75,2.06,US,1691647735
154,hammerfest,70.6634,23.6821,22.25,68,0,0.0,NO,1691647736
155,nova vicosa,-17.8919,-39.3719,21.39,76,10,2.52,BR,1691647720
156,sinan,34.8262,126.1086,25.45,82,58,9.94,KR,1691647737
157,thief river falls,48.1191,-96.1812,14.53,94,0,2.06,US,1691647738
158,salinopolis,-0.6136,-47.3561,25.88,82,40,4.94,BR,1691647738
159,broome,42.2506,-75.833,18.53,94,90,1.28,US,1691647739
160,gadzhiyevo,69.2551,33.3362,20.91,65,3,3.5,RU,1691647739
161,new norfolk,-42.7826,147.0587,13.84,69,66,2.61,AU,1691647740
162,egilsstadir,65.2653,-14.3948,6.18,85,29,0.76,IS,1691647740
163,mantua,45.1667,10.7833,21.3,85,24,0.45,IT,1691647741
164,al badari,26.9926,31.4155,30.34,38,0,5.46,EG,1691647741
165,port saint john's,-31.6229,29.5448,17.01,81,20,3.87,ZA,1691647742
166,fauske,67.2588,15.3918,16.64,63,100,1.92,NO,1691647743
167,qaqortoq,60.7167,-46.0333,6.24,80,14,0.85,GL,1691647743
168,al ghayzah,16.2079,52.176,28.05,77,92,3.5,YE,1691647744
169,kolonia,50.9333,6.95,16.08,77,0,1.03,DE,1691647745
170,yanam,16.7333,82.2167,35.9,43,86,3.25,IN,1691647745
171,arno,60.1167,18.6333,13.21,91,100,6.19,SE,1691647746
172,avarua,-21.2078,-159.775,24.03,73,100,7.72,CK,1691647746
173,dudinka,69.4058,86.1778,19.79,52,100,10.9,RU,1691647747
174,sarpol-e zahab,34.4611,45.8626,40.21,11,0,0.34,IR,1691647747
175,ixtapa,20.7,-105.2,25.13,86,51,1.75,MX,1691647748
176,hamilton,39.1834,-84.5333,21.39,94,100,0.89,US,1691647202
177,houghton,47.1219,-88.569,17.68,89,75,2.06,US,1691647749
178,chibuto,-24.6867,33.5306,19.58,62,90,2.47,MZ,1691647750
179,crane,31.3974,-102.3501,30.87,28,6,4.66,US,1691647750
180,undurkhaan,47.3194,110.6556,21.41,60,100,3.57,MN,1691647750
181,altinekin,38.3078,32.8686,26.31,57,0,2.14,TR,1691647751
182,costa rica,-23.4167,-54.65,18.92,70,0,2.24,BR,1691647752
183,nago,26.5881,127.9761,33.24,73,44,2.71,JP,1691647752
184,fortaleza,-3.7227,-38.5247,26.79,83,75,4.63,BR,1691647561
